Source,AI Features,Performance Degradation Types,Causal Links,Excerpt,Justification,Validation
2309.10852v2,Overconfidence in AI predictions,Over-reliance on AI predictions,"Overconfidence in AI predictions can lead to over-reliance on AI predictions by human users, as they might trust AI outputs more than their judgment.","""However, prediction probabilities are prone to overconfidence in some AI models. There is a lack of discussion on the calibration of uncertainty estimates in the existing literature."" (p. 3)","This excerpt suggests that AI models can be overconfident in their predictions, which might lead users to rely too heavily on AI outputs without questioning them.",y
2309.10852v2,AI Uncertainty Quantification (UQ),Complexity in decision-making,"AI UQ can introduce complexity in decision-making because users need to interpret probabilistic information, which may not always be straightforward.","""However, increasing information, even when it is task-relevant, is not always beneficial to human decision-making performance."" (p. 2)","This excerpt indicates that while UQ provides more information, it can complicate decision-making, potentially leading to decreased performance.",y
2309.10852v2,AI Uncertainty Quantification (UQ),No significant improvement in decision-making accuracy,"AI UQ does not always lead to improved decision-making accuracy, as users might struggle to interpret and apply the uncertainty information effectively.","""Despite previous general findings that uncertainty information is useful for decision-making, there is limited behavioral research assessing the benefits of AI UQ, particularly for human decision-making accuracy."" (p. 2)","This excerpt highlights that the expected benefits of AI UQ on decision-making accuracy are not consistently observed, suggesting potential issues in user interpretation or application of UQ.",y
41746_2025_Article_1559,High-level automation,Complacency bias,"High-level automation in AI decision-support tools can lead to complacency bias because it reduces the need for active human decision-making, which may result in over-reliance on AI outputs.","""It is therefore critical that these AI tools are developed in a manner that avoids automation bias, complacency bias and deskilling."" (p. 4)","This excerpt indicates a direct concern that high-level automation in AI tools can lead to complacency, as users might overly rely on AI, reducing their active engagement and decision-making.",y
41746_2025_Article_1559,AI-enabled decision-support tools,Deskilling,"AI-enabled decision-support tools can lead to deskilling because they take over tasks that require specific skills, leading to skill decay over time.","""It is therefore critical that these AI tools are developed in a manner that avoids automation bias, complacency bias and deskilling."" (p. 4)","This statement highlights the risk of deskilling, as AI tools performing tasks traditionally done by humans can lead to a reduction in skill levels due to lack of practice.",y
41746_2025_Article_1559,Poorly designed systems,User satisfaction and efficiency reduction,"Poorly designed AI systems reduce user satisfaction and efficiency because they create frustration and inefficiencies in workflow, impacting overall performance.","""For example, poorly designed systems reduce both user satisfaction and efficiency, as seen with electronic health record (EHR) systems."" (p. 2)","This excerpt shows that design flaws in AI systems can lead to decreased satisfaction and efficiency, indicating a direct impact on human performance.",y
41746_2025_Article_1559,AI-based automatic detection of psychophysiological states,Stress,"AI-based automatic detection systems can increase stress because they may misinterpret user states, leading to inappropriate responses or actions.","""AI-enabled decision-support tools act as human-AI interfaces, and therefore interfaces that influence cognitive and emotional states of medical decision-makers."" (p. 4)","This indicates that AI systems can impact stress levels by influencing emotional states, potentially through misinterpretation or inappropriate feedback.",y
730709,Recommendation algorithms,Loss of serendipity,"Recommendation algorithms limit serendipity by reinforcing past behaviors, which constrains exploration and change, leading to reduced human agency.","""However, recommendation algorithms often limit our experience of serendipity. They do so because most of these systems are set up to feed content based on our past behaviors... Consequently, they reinforce those behaviors and create inertia that limits exploration and change..."" (p. 3)","This excerpt shows that recommendation algorithms reinforce existing behaviors, which limits new experiences and exploration, thereby reducing human agency.",y
730709,Generative AI models,De-skilling,"Relying on generative AI models for tasks like creative idea generation can lead to de-skilling as humans forego practicing these skills, causing them to weaken over time.","""The emergence of ChatGPT and other forms of generative AI have revived the concern that AI could contribute to a new wave of de-skilling among knowledge workers... If workers begin to rely on AI to perform parts of their jobs, such as writing or brainstorming, might they be foregoing opportunities to practice and strengthen those skills?"" (p. 4)","This excerpt indicates that reliance on AI for creative tasks can lead to skill atrophy, as humans do not practice and strengthen these skills, resulting in de-skilling.",y
730709,Voice-activated AI assistants,Constrained interaction,"Voice-activated AI assistants cause users to simplify their language, which can lead to reduced linguistic diversity and altered communication styles.","""Qualitative research with Amazon Alexa users revealed that they often engage in a more simplified form of communication compared to a human interlocutor... conversational AI systems implicitly disincentivize linguistic diversity by requiring users to employ more simplistic, reduced forms of language."" (p. 7)","This excerpt shows that users simplify their language when interacting with AI, which can lead to reduced linguistic diversity and altered communication styles, impacting human communication skills.",y
