Source,Industry Domain/Field,AI Features,Performance Degradation Types,Causal Links,Excerpt,Justification,Validation
2309.10852v2,artificial intelligence in decision-making,Overconfidence in AI predictions,Over-reliance on AI predictions,"Overconfidence in AI predictions can lead to over-reliance on AI, as users may trust AI outputs without sufficient skepticism, potentially degrading decision quality.","""However, prediction probabilities are prone to overconfidence in some AI models. There is a lack of discussion on the calibration of uncertainty estimates in the existing literature."" (p. 3)","This excerpt indicates that overconfidence in AI predictions can lead to over-reliance on AI, as users may trust AI outputs without sufficient skepticism, potentially degrading decision quality.",y
2309.10852v2,decision science,AI Uncertainty Quantification (UQ),Improved decision-making accuracy,"AI Uncertainty Quantification (UQ) improves decision-making accuracy by providing well-calibrated probabilistic information, enhancing users' ability to make informed decisions.","""Our results indicate well-calibrated AI UQ is beneficial for decision-making."" (p. 1)","This excerpt shows that AI UQ improves decision-making accuracy by providing well-calibrated probabilistic information, enhancing users' ability to make informed decisions.",y
2309.10852v2,cognitive psychology,Excessive information,Decision-making performance not always improved,"Providing excessive information, even if task-relevant, does not always improve decision-making performance, suggesting a potential overload effect.","""However, increasing information, even when it is task-relevant, is not always beneficial to human decision-making performance."" (p. 2)","This excerpt suggests that providing excessive information, even if task-relevant, does not always improve decision-making performance, indicating a potential overload effect.",y
2309.10852v2,decision support systems,AI prediction alone,Lower decision accuracy,"AI prediction alone may lead to lower decision accuracy compared to when AI Uncertainty Quantification is provided, as users lack additional probabilistic context.","""Our results showed that UQ was beneficial for decision-making performance compared to only AI predictions."" (p. 1)","This excerpt indicates that AI prediction alone may lead to lower decision accuracy compared to when AI UQ is provided, as users lack additional probabilistic context.",y
2309.10852v2,Decision Science,Visual representation of UQ,No significant impact on performance,"Visual representation of UQ does not significantly impact decision-making performance, suggesting that the format of UQ presentation may not be critical.","""In Experiment 2, we did not find meaningful differences between different representations of UQ."" (p. 7)","This excerpt suggests that visual representation of UQ does not significantly impact decision-making performance, indicating that the format of UQ presentation may not be critical.",y
41746_2025_Article_1559,healthcare,High-level automation,Complacency bias,High-level automation in AI-enabled decision-support tools can lead to complacency bias because users may overly rely on AI systems and reduce their vigilance in monitoring tasks.,"""It is therefore critical that these AI tools are developed in a manner that avoids automation bias, complacency bias and deskilling9,35."" (p. 5)","The excerpt identifies complacency bias as a risk associated with AI tools, suggesting that users may become overly reliant on AI, thus reducing their active engagement and vigilance.",y
41746_2025_Article_1559,healthcare,AI-enabled decision-support tools,Deskilling,"AI-enabled decision-support tools can cause deskilling because they take over tasks traditionally performed by humans, leading to a reduction in skill use and development.","""It is therefore critical that these AI tools are developed in a manner that avoids automation bias, complacency bias and deskilling9,35."" (p. 5)","The excerpt highlights deskilling as a potential consequence of AI tools, implying that reliance on AI could lead to a decline in human skills as tasks are automated.",y
41746_2025_Article_1559,medical imaging,AI-based image analysis,Stress and increased workload,"AI-based image analysis systems can increase stress and workload because they may reject images that humans could process, leading to additional tasks for staff.","""The authors identified a high image-quality related rejection rate of images that human readers could screen, with resultant increased staff workload, elevated stress, and longer patient waiting times."" (p. 5)","This excerpt shows that AI systems can increase workload and stress by rejecting images that humans would accept, thus creating additional work and stress for human operators.",y
730709,digital media and content recommendation,Recommendation algorithms,Reduced serendipity,"Recommendation algorithms limit serendipity by reinforcing past behaviors, which restricts exploration and change, thereby constraining human agency.","""However, recommendation algorithms often limit our experience of serendipity. They do so because most of these systems are set up to feed content based on our past behaviors (André et al. 2018; Wertenbroch et al. 2020). Consequently, they reinforce those behaviors and create inertia that limits exploration and change (Talaifar and Lowery 2023), constraining human agency."" (p. 244)","This excerpt shows how recommendation algorithms reinforce existing behaviors, limiting new experiences and exploration, which constrains human agency.",y
730709,knowledge work and AI integration,Generative AI models,De-skilling,"Generative AI models lead to de-skilling by performing tasks that humans used to do, reducing opportunities for skill practice and strengthening.","""The emergence of ChatGPT and other forms of generative AI have revived the concern that AI could contribute to a new wave of de-skilling among knowledge workers. For example, generative AI models can now outperform most humans at creative idea generation (Guzik, Byrge, and Gilde 2023; Koivisto and Grassini 2023). Relying on such models can increase the quantity and quality of knowledge workers’ output (Noy and Zhang 2023; Dell’Acqua et al. 2024). If workers begin to rely on AI to perform parts of their jobs, such as writing or brainstorming, might they be foregoing opportunities to practice and strengthen those skills?"" (p. 244)","This excerpt illustrates how reliance on AI for tasks like writing or brainstorming can lead to skill atrophy, as humans forego opportunities to practice these skills.",y
