Source,AI Features,Performance Degradation Types,Causal Links,Excerpt,Justification,Validation
2309.10852v2,AI Uncertainty Quantification (UQ),None explicitly mentioned,"UQ may improve decision-making accuracy, but poorly calibrated UQ can be detrimental.","""Our method for AI UQ uses known class labels to ensure high-quality uncertainty information at the instance-level, as poorly calibrated uncertainty information is likely to be detrimental to decision-making."" (p. 2)","This excerpt suggests that while well-calibrated UQ can improve decision-making, poorly calibrated UQ can degrade performance, implying a potential causal link.",y
2309.10852v2,AI Predictions,Overconfidence,"AI predictions can lead to overconfidence, affecting decision-making accuracy.","""However, prediction probabilities are prone to overconfidence in some AI models. There is a lack of discussion on the calibration of uncertainty estimates in the existing literature."" (p. 3)","This excerpt indicates that overconfidence in AI predictions can lead to decision-making errors, suggesting a causal link between AI predictions and overconfidence.",y
2309.10852v2,AI Predictions,None explicitly mentioned,AI predictions alone do not always improve decision accuracy compared to human decision-making.,"""One less-explored possibility for promoting effective human-AI interaction is AI Uncertainty Quantification (UQ) for predictions. AI UQ is posited to be key for human decision-making (Abdar et al., 2021b; Jalaian et al., 2019)."" (p. 1)","This excerpt implies that AI predictions alone may not enhance decision accuracy, suggesting a need for additional features like UQ.",y
2309.10852v2,AI Uncertainty Quantification (UQ),None explicitly mentioned,High-quality UQ improves decision-making accuracy and confidence calibration.,"""We found that providing high-quality AI UQ meaningfully improves decision-accuracy and confidence calibration over an AI prediction alone."" (p. 1)",This excerpt shows a direct causal link between high-quality UQ and improved decision-making performance.,y
2309.10852v2,AI Predictions,None explicitly mentioned,AI predictions alone may not enhance decision accuracy compared to human decision-making.,"""Despite previous general findings that uncertainty information is useful for decision-making, there is limited behavioral research assessing the benefits of AI UQ, particularly for human decision-making accuracy."" (p. 2)","This excerpt suggests that AI predictions alone may not improve decision accuracy, indicating a potential limitation of AI predictions.",y
41746_2025_Article_1559,Poorly designed AI systems,Reduced user satisfaction and efficiency,"Poorly designed AI systems reduce both user satisfaction and efficiency, as seen with electronic health record (EHR) systems.","""For example, poorly designed systems reduce both user satisfaction and efficiency, as seen with electronic health record (EHR) systems."" (p. 2)","This excerpt highlights that the design of AI systems can directly impact user satisfaction and efficiency, indicating a causal relationship between system design and human performance degradation.",y
41746_2025_Article_1559,AI-enabled decision-support tools,"Automation bias, complacency bias, and deskilling","AI-enabled decision-support tools can lead to automation bias, complacency bias, and deskilling because they influence cognitive and emotional states of medical decision-makers.","""It is therefore critical that these AI tools are developed in a manner that avoids automation bias, complacency bias and deskilling."" (p. 4)","This statement explicitly links AI-enabled decision-support tools to specific types of human performance degradation, emphasizing the need for careful development to avoid these issues.",y
41746_2025_Article_1559,High image-quality requirements in AI systems,"Increased staff workload, elevated stress, longer patient waiting times","High image-quality requirements in AI systems increase staff workload, stress, and patient waiting times because they lead to a high rejection rate of images that human readers could screen.","""The authors identified a high image-quality related rejection rate of images that human readers could screen, with resultant increased staff workload, elevated stress, and longer patient waiting times."" (p. 5)","This excerpt shows a direct causal link between the AI feature of high image-quality requirements and human performance degradation in terms of workload, stress, and efficiency.",y
730709,Recommendation algorithms,Loss of serendipity,"Recommendation algorithms limit serendipity by reinforcing past behaviors, which restricts exploration and change, thus constraining human agency.","""However, recommendation algorithms often limit our experience of serendipity. They do so because most of these systems are set up to feed content based on our past behaviors (André et al. 2018; Wertenbroch et al. 2020). Consequently, they reinforce those behaviors and create inertia that limits exploration and change (Talaifar and Lowery 2023), constraining human agency."" (p. 3)","This excerpt shows that recommendation algorithms reinforce past behaviors, limiting exploration and change, which constrains human agency by reducing exposure to new options.",y
730709,Generative AI models,De-skilling,"Generative AI models contribute to de-skilling by performing tasks that reduce opportunities for humans to practice and strengthen their skills, leading to skill atrophy.","""The emergence of ChatGPT and other forms of generative AI have revived the concern that AI could contribute to a new wave of de-skilling among knowledge workers. For example, generative AI models can now outperform most humans at creative idea generation (Guzik, Byrge, and Gilde 2023; Koivisto and Grassini 2023). Relying on such models can increase the quantity and quality of knowledge workers’ output (Noy and Zhang 2023; Dell’Acqua et al. 2024). If workers begin to rely on AI to perform parts of their jobs, such as writing or brainstorming, might they be foregoing opportunities to practice and strengthen those skills?"" (p. 4)","This excerpt indicates that reliance on generative AI models for tasks like writing or brainstorming may lead to skill atrophy, as humans forego opportunities to practice and strengthen these skills.",y
730709,AI-based social media algorithms,Identity constraints,"AI-based social media algorithms constrain self-expression by evoking certain aspects of identity while suppressing others, leading to a narrowed self-perception.","""Indeed, people seem to understand that algorithms in these environments are tailored to influence their identities in specific, potentially pernicious, ways (Bhandari and Bimo 2022). For instance, people perceive that AI-systems are meant to amplify some aspects of their identity, while filtering out or suppressing other, more marginalized, parts (Simpson and Semaan 2021)."" (p. 8)","This excerpt highlights how AI-based social media algorithms can constrain self-expression by selectively amplifying or suppressing aspects of identity, leading to a narrowed self-perception.",y
