Source,AI Features,Performance Degradation Types,Causal Links,Excerpt,Justification,Validation
2309.10852v2,AI Uncertainty Quantification (UQ),Over-reliance on AI,"AI UQ may lead to over-reliance on AI predictions because it provides additional probabilistic information, which can cause users to trust AI outputs more than necessary.","""AI Uncertainty Quantification (UQ) has the potential to improve human decision-making beyond AI predictions alone by providing additional probabilistic information to users.""","Providing additional probabilistic information can lead users to rely more heavily on AI predictions, potentially reducing their critical assessment of AI outputs. This over-reliance can degrade human performance by diminishing the user's independent decision-making capabilities.",y
2309.10852v2,AI Prediction Accuracy,Reduced human decision-making accuracy,AI predictions alone may reduce human decision-making accuracy because users might not critically evaluate the AI's output.,"""Recent work on human-AI interaction guidelines focuses on explainability and interpretability... However, a quantitative synthesis of studies found that explanations may not generally improve decision accuracy beyond AI prediction alone.""","When users rely solely on AI predictions without additional context or understanding, they may not question or verify the AI's output, leading to potential errors in decision-making. This reliance on AI predictions can degrade human performance by reducing the accuracy of their decisions.",y
2309.10852v2,AI UQ Visualization,Confusion and misinterpretation,"Complex or poorly designed UQ visualizations can lead to confusion and misinterpretation, causing errors in decision-making.","""In the second experiment, we did not find meaningful differences between different representations of UQ... adding more information (here, the UQ distribution), even though task-relevant, did not improve decision-making.""","Providing complex visualizations of UQ information can overwhelm users, leading to confusion and misinterpretation. This can degrade human performance by causing errors in decision-making due to misunderstanding the AI's uncertainty information.",y
26459823,,No relevant evidence found,,,,
41746_2025_Article_1559,High-level automation,Complacency,"High-level automation in AI systems can lead to complacency among healthcare providers because they may overly rely on AI for decision-making, reducing their vigilance and critical thinking.","""It is therefore critical that these AI tools are developed in a manner that avoids automation bias, complacency bias and deskilling.""","This excerpt highlights the risk of complacency bias, which occurs when users overly rely on automated systems, leading to reduced vigilance and critical thinking. The mention of avoiding complacency bias implies a causal link between high-level automation and user complacency.",y
41746_2025_Article_1559,Lack of real-world evaluation frameworks,Skill decay,"Lack of real-world evaluation frameworks for AI in healthcare can lead to skill decay because healthcare providers may not be adequately trained to interact with AI systems in complex, real-world settings.","""The value of medical AI lies in its interaction with human users, yet the lack of evaluation frameworks tailored to real-world environments remains a significant hurdle.""","This excerpt suggests that without proper evaluation frameworks, healthcare providers may not develop or maintain the necessary skills to effectively interact with AI systems, leading to skill decay.",y
41746_2025_Article_1559,Opaque decision-making,Automation bias,"Opaque decision-making in AI systems can lead to automation bias because users may trust AI outputs without understanding the underlying reasoning, leading to errors in judgment.","""It is therefore critical that these AI tools are developed in a manner that avoids automation bias, complacency bias and deskilling.""","The mention of automation bias indicates that opaque decision-making can cause users to trust AI outputs blindly, leading to errors in judgment. This suggests a causal link between the lack of transparency in AI systems and automation bias.",y
41746_2025_Article_1559,Complex AI interactions,Stress and increased workload,Complex interactions with AI systems can increase stress and workload for healthcare providers because they may struggle to adapt to new workflows and decision-making processes.,"""The authors identified a high image-quality related rejection rate of images that human readers could screen, with resultant increased staff workload, elevated stress, and longer patient waiting times.""","This excerpt shows that complex AI interactions, such as image-quality rejections, can lead to increased workload and stress, indicating a causal relationship between the complexity of AI systems and human performance degradation.",y
730709,Agency transference,Skill decay,"Agency transference leads to skill decay as individuals rely on AI to perform tasks, reducing the need to practice and maintain those skills.","""As new technologies emerge and mature, they often take over certain tasks or skills that were previously performed by humans. Off-loading tasks or skills to technology can mean that those skills atrophy over time, a phenomenon known as de-skilling (Wood 1987)."" (Excerpt 5)","This excerpt illustrates how the transfer of agency to AI systems can result in the atrophy of human skills, as tasks once performed by humans are now automated.",y
730709,Parametric reductionism,Dehumanization,"Parametric reductionism leads to dehumanization as AI reduces human complexities to data metrics, failing to capture nuanced human preferences.","""AI functions through parameterization and categorization, reducing the complexities of human beings into a set of quantifiable metrics, classifications, and risk scores to sort, assess, and predict behavior."" (Excerpt 5)","This excerpt shows that AI's reductionist approach can result in the objectification of individuals, which is a form of dehumanization.",y
